id,source,target,relation,source_text
E234,E611,L193,AT_LOCATION,遣唐使於八省院朝拜。
E235,E622,P168,HAS_SUBJECT,請入唐求法僧最澄於殿上。悔過讀經。最澄獻唐国佛像。
E236,E622,C012,HAS_OBJECT,請入唐求法僧最澄於殿上。悔過讀經。最澄獻唐国佛像。
E237,E622,L193,AT_LOCATION,請入唐求法僧最澄於殿上。悔過讀經。最澄獻唐国佛像。
E238,P168,C012,INTRODUCE,請入唐求法僧最澄於殿上。悔過讀經。最澄獻唐国佛像。
E239,P168,L193,INTRODUCE,請入唐求法僧最澄於殿上。悔過讀經。最澄獻唐国佛像。
E240,E633,L295,HAS_SUBJECT,任遣唐使。以從四位下藤原朝臣清河爲大使。從五位下大伴宿祢古麻呂爲副使。
E241,E633,L193,AT_LOCATION,任遣唐使。以從四位下藤原朝臣清河爲大使。從五位下大伴宿祢古麻呂爲副使。
E242,E644,P094,HAS_SUBJECT,從五位下大伴宿祢古麻呂爲副使。
E243,E644,L193,AT_LOCATION,從五位下大伴宿祢古麻呂爲副使。
E244,P094,L193,PARTICIPATE,從五位下大伴宿祢古麻呂爲副使。
E245,E655,P220,HAS_SUBJECT,以守民部尚書直大貳粟田朝臣眞人。爲遣唐執節使。
E246,E655,L193,AT_LOCATION,以守民部尚書直大貳粟田朝臣眞人。爲遣唐執節使。
E247,P220,L193,PARTICIPATE,以守民部尚書直大貳粟田朝臣眞人。爲遣唐執節使。
E248,E666,P315,HAS_SUBJECT,左大辨直廣參高橋朝臣笠間爲大使。
E249,E666,L193,AT_LOCATION,左大辨直廣參高橋朝臣笠間爲大使。
E250,P315,L193,PARTICIPATE,左大辨直廣參高橋朝臣笠間爲大使。
E251,E678,P088,HAS_SUBJECT,右兵衛率直廣肆坂合部宿祢大分爲副使。
E252,E678,L193,AT_LOCATION,右兵衛率直廣肆坂合部宿祢大分爲副使。
E253,P088,L193,PARTICIPATE,右兵衛率直廣肆坂合部宿祢大分爲副使。
E254,E689,P065,HAS_SUBJECT,勝寳四年爲入唐副使。廻日授正四位下。
E255,E689,L193,AT_LOCATION,勝寳四年爲入唐副使。廻日授正四位下。
E256,P065,L193,PARTICIPATE,勝寳四年爲入唐副使。廻日授正四位下。
E257,E700,P272,HAS_SUBJECT,遣唐使拜朝。
E258,E700,L193,AT_LOCATION,遣唐使拜朝。
